picture_url,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,latitude,longitude,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_response_rate_percent,host_since_timestamp,50_percent_or_more_booking,30_day_avail_percentage,has_wifi,has_shampoo,has_smoke alarm,has_hair dryer,has_heating,has_long term stays allowed,has_carbon monoxide alarm,has_kitchen,has_washer,has_hangers,has_essentials,has_air conditioning,has_free parking on premises,entire_space,"neighbourhood_Austin , Texas, United States","neighbourhood_Austin, Texas, United States","neighbourhood_Austin, Tx, United States","neighbourhood_Austin, United States","neighbourhood_Bee Cave, Texas, United States","neighbourhood_Bouldin, Austin, Texas, United States","neighbourhood_Buda, Texas, United States","neighbourhood_Cedar Park, Texas, United States","neighbourhood_Del Valle, Texas, United States","neighbourhood_Dripping Springs, Texas, United States","neighbourhood_Lago Vista, Texas, United States","neighbourhood_Lakeway, Texas, United States","neighbourhood_Leander, Texas, United States","neighbourhood_Manchaca, Texas, United States","neighbourhood_Manor, Austin, Texas, United States","neighbourhood_Pflugerville, Texas, United States","neighbourhood_Rollingwood, Texas, United States","neighbourhood_Round Rock, Texas, United States","neighbourhood_Sunset Valley, Texas, United States","neighbourhood_The Hills, Texas, United States",neighbourhood_United States,"neighbourhood_Volente, Texas, United States","neighbourhood_West Lake Hills, Texas, United States","neighbourhood_Westlake Hills, Austin, Texas, United States"
https://a0.muscache.com/pictures/63976578/162456ae_original.jpg,0,1.0,1.0,1,1,5,30.30047,-97.73909,2.0,2.0,500.0,1,1125,0,0,0,0,0,0,0,0,4.95,0,1,1,0,0,0.9654504259561356,1393394400.0,0,0.0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
https://a0.muscache.com/pictures/miso/Hosting-5115219/original/7b7570cb-2f05-4327-863c-0926977957a0.jpeg,1,0.0,0.0,1,1,8,30.28093,-97.7187,3.0,5.0,400.0,1,1125,1,6,21,37,48,47,47,5,4.98,1,1,1,0,0,1.0,1394258400.0,0,0.2,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/2520624c-b7f3-48cd-8c66-f2d24b24578d.jpg,0,1.0,1.0,1,1,4,30.23133,-97.82327,1.0,1.0,150.0,2,1125,1,0,0,0,0,12,0,0,4.75,0,1,1,0,0,0.9654504259561356,1421733600.0,0,0.0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
https://a0.muscache.com/pictures/64019310/a654b4fa_original.jpg,0,1.0,1.0,1,1,2,30.37097,-97.7136,1.0,1.0,60.0,2,5,0,0,0,0,0,0,0,0,4.95,0,1,0,1,0,0.9654504259561356,1421733600.0,0,0.0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/64082837/40a72ff3_original.jpg,0,2.0,2.0,1,1,2,30.46024,-97.81008,1.0,1.0,200.0,3,1125,1,0,0,0,0,0,0,0,4.95,0,2,0,2,0,0.9654504259561356,1342414800.0,0,0.0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/64085092/2f20e7de_original.jpg,0,2.0,2.0,1,1,1,30.45868,-97.80963,1.0,1.0,175.0,3,1125,1,0,0,0,0,0,0,0,4.95,0,2,0,2,0,0.9654504259561356,1342414800.0,0,0.0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/64115213/456c844b_original.jpg,1,1.0,1.0,1,1,6,30.28078,-97.76296,4.0,4.0,1454.0,3,7,1,19,19,19,19,3,0,0,5.0,0,2,2,0,0,1.0,1396155600.0,1,0.6333333333333333,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/c3dcf7da-168e-4f3a-a2a1-ce16126d51c6.jpg,0,1.0,1.0,1,1,8,30.26706,-97.71607,3.0,5.0,553.0,3,21,1,5,5,5,11,14,3,0,5.0,1,1,1,0,0,1.0,1358402400.0,0,0.1666666666666666,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/258375d0-73e1-4f17-9410-f3a7e59bf123.jpg,1,2.0,2.0,1,1,4,30.25752,-97.73416,1.0,1.0,308.0,1,1125,1,10,22,50,229,413,57,1,4.89,1,2,2,0,0,1.0,1421820000.0,0,0.3333333333333333,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/64336043/d18ca093_original.jpg,0,2.0,2.0,1,1,10,30.27723,-97.71242,3.0,10.0,900.0,4,18,1,0,0,0,0,1,0,0,4.0,0,2,1,1,0,0.9654504259561356,1421042400.0,0,0.0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
